gameNo,gameName,gameMinPlayer,gameMaxPlayer,gameMinTime,gameMaxTime,gameYear,gameTotalScore,gameImg,gameAge,gameCategory,gameWeight,gameDesc
147,The Lord of the Rings: The Card Game,1,2,60,60,2011,7.63221,https://cf.geekdo-images.com/original/img/TdAxQnbevAwD1oQ91K1KPckgjTk=/0x0/pic906495.jpg,13,Adventure| Card Game| Collectible Components| Fantasy| Novel-based,3.138,"The Lord of the Rings: The Card Game is a cooperative adventure game in which the players attempt to complete a scenario, each with three heroes of their choice and a deck of allies, events and attachments to support them. Each round, players send their heroes and allies to quest or to fight with enemies that engage them. However, as the heroes and allies exhaust after questing, defending, or attacking, the players' options are typically insufficient to deal with everything at once. Therefore, players need to determine whether it is more urgent to quest and make progress in the scenario while the enemy forces gain power, or to take down enemies while making no progress, not knowing what will come next.<br/><br/>The Lord of the Rings: The Card Game is the base game of a Living Card Game for which new adventure packs are released monthly. The base game contains three scenarios, twelve famous characters from the works of J.R.R. Tolkien (including Aragorn, Legolas, Gimli, Denethor and Eowyn), and four pre-constructed player decks. Players can either use one of these decks or construct their own deck to increase their chances to be succesful in the more challenging scenarios. The monthly adventure packs contain a new scenario, a new hero, and new player cards to be used in their deck. The base game is for 1-2 players, but with an additional base game the scenarios can be played with up to four players.<br/><br/>Although this game is set in Tolkien's Middle Earth, the scenarios do not represent scenes from the books, but rather take place in the seventeen years from Bilbo's 111th birthday until Frodo's departure from the Shire.<br/><br/>The scenarios from saga-expansions do represent scenes from the books. Saga-expansions will form the Campaign Mode so that you can play all the saga quests that deal with the trilogy (+ Hobbit) together in one marathon campaign.<br/><br/>Microbadge: <br/><br/>"
148,Jaipur,2,2,30,30,2009,7.5322,https://cf.geekdo-images.com/original/img/I1nrFom8YN8H7wJFMRwj14Xl6MI=/0x0/pic725500.jpg,12,Animals| Card Game,1.523,"You are one of the two most powerful traders in the city of Jaipur, the capital of Rajasthan, but that's not enough for you because only the merchant with two &quot;seals of excellence&quot; will have the privilege of being invited to the Maharaja's court. You are therefore going to have to do better than your direct competitor by buying, exchanging, and selling at better prices, all while keeping an eye on both your camel herds.<br/><br/>Jaipur is a fast-paced card game, a blend of tactics, risk and luck. On your turn, you can either take or sell cards. If you take cards, you have to choose between taking all the camels, taking one card from the market, or swapping 2-5 cards between the market and your cards.<br/><br/>If you sell cards, you get to sell only one type of good, and you receive as many chips for that good as the number of cards you sold. The chips' values decrease as the game progresses, so you'd better hurry! On the other hand, you receive increasingly high rewards for selling three, four, or five cards of the same good at a time, so you'd better wait!<br/><br/>You can't sell camels, but they're paramount for trading and they're also worth a little something at the end of the round, enough sometimes to secure the win, so you have to use them smartly.<br/><br/>"
149,Goa,2,4,90,90,2004,7.62115,https://cf.geekdo-images.com/original/img/ZO3q3cZqX_34C9i7MriB4u6txjk=/0x0/pic1215969.jpg,12,Economic| Farming| Nautical| Renaissance,3.3802,"Goa, a strategy game of auctions and resource management, is set at the start of the 16th century: beautiful beaches, a mild climate, and one of the most important trading centers in the world. Competing companies deal in spices, send ships and colonists into the world, and invest money. Are you on top or at the bottom? It depends on how you invest your profits. Will you make your ships more efficient? Enhance your plantations? Recruit more colonists? Only a steady hand in business will help.<br/><br/>Each turn begins with an auction phase, where each player gets to auction one item (and the starting player two items). The first item being auctioned gives the right to go first the next turn (along with a card that gives an extra action). If you buy your own item, you pay it to the bank. If someone else buys the item you sell, they pay you. Items include plantations complete with crops, income tiles (income in money, ships, plantation refills each turn etc.), ships, settlers, and later on tiles that score points for certain achievements.<br/><br/>After the auction, players get three actions to either improve their technologies or produce things such as spices on plantations, ships, money or build more plantations. Each player has a board showing their advancement for various things: getting ships, planting new spices, getting colonists, etc. The more a player advances along one track, the better one is doing that particular action. The further you get along a certain track, the more points that track is worth at the end, and there are also rewards to the first player who reaches the last two levels along each track. On the other hand, each player normally needs to perform the actions for all the tracks at some point, so it's not necessarily a good idea to concentrate on just a couple of them. Goa is a game that gives plenty of opportunity for tough decisions, since a player always has at least one action too few.<br/><br/>The game mixes an interactive element of the auction, which encourages you to nominate things that other players want so you receive cash with the solitaire management of your plantation, which then interacts later on as players race to be first in the top tech levels.<br/><br/>The 2012 edition of Goa includes four new tiles and a new play variant, as noted on the cover of the Z-Man Games edition.<br/><br/>"
150,Champions of Midgard,2,4,60,90,2015,7.78023,https://cf.geekdo-images.com/original/img/c1gxRcNaDdjeH8zpLYJEkDEYA5g=/0x0/pic2869714.jpg,10,Adventure| Dice| Fantasy| Fighting| Medieval| Mythology,2.5215,"Champions of Midgard is a middleweight, Viking-themed, worker placement game with dice rolling in which players are leaders of Viking clans who have traveled to an embattled Viking harbor town to help defend it against the threat of trolls, draugr, and other mythological Norse beasts. By defeating these epic creatures, players gain glory and the favor of the gods. When the game ends, the player who has earned the most glory earns the title of Jarl and is recognized as a champion of Midgard!<br/><br/>Placing workers allows for the collection of resources and warriors, which players may then send on journeys to neighboring villages or across the sea to defeat monsters and gain the glory they need for victory. Resources are used to carve runes, build ships, and feed your followers. Viking warriors (custom dice) do battle with the myriad enemies the town faces.<br/><br/>"
151,Hansa Teutonica,2,5,45,90,2009,7.63138,https://cf.geekdo-images.com/original/img/Y7bW8H1htsE2xOv87qIuPTsjiTo=/0x0/pic839090.jpg,12,Renaissance,3.1329,"The players act as traders trying to get victory points for building a network of offices, controlling cities, collecting bonus markers, or when other traders use the cities they control. After controlling a line between two cities with your pawns, you can decide to build an office (and maybe also establish control and/or get a bonus marker) or to get a skill improvement from some of the cities.<br/><br/>Players have to improve their traders' &quot;skills&quot; for the following effects: getting more VP from offices in their network, getting more available action points, increasing the number of available pawns, and getting the right to place pawns and get more special pawns.<br/><br/>This game appeared originally as Wettstreit der H&auml;ndler at the Hippodice competition.<br/><br/>"
152,Zombicide: Black Plague,1,6,60,180,2015,7.82289,https://cf.geekdo-images.com/original/img/vs4UlIiZ1p3k5yIJ_vlvd2N-474=/0x0/pic2482309.jpg,10,Adventure| Fantasy| Fighting| Horror| Medieval| Miniatures| Zombies,2.5517,"Description from the publisher:<br/><br/>Zombicide: Black Plague takes the zombie apocalypse into a fantastical medieval setting! The arcane powers of the Necromancers have unleashed a zombie invasion in the age of swords and sorcery, and it's up to your group of straggling survivors to not only stay alive during these dark times, but to take back the realm and punish those responsible for the apocalypse!<br/><br/>Zombicide: Black Plague allows you take control of paladins, dwarves, knights, and magicians, wielding powerful swords, crossbows, and even magic spells to defeat the zombie hordes and its Necromancer overlords. The classic Zombicide rules have been revamped for this new incarnation of the game, while still retaining the nonstop action, tense atmosphere and easy-to-learn rules that made Zombicide a classic. Equip your survivor with equipment like chainmail armor or shields to defend against the undead, pick up spell books to perform fantastic enchantments, or light up a pool of dragon bile to create an all-consuming inferno of dragon fire!<br/><br/>Take on the zombie invasion from the medieval streets to secret vaults that create quick passages through the citadel (and often hold special artifacts). Chase down the elusive Necromancers to keep them from multiplying the zombie masses. And tackle a whole new set of missions through which your group of survivors will become the heroes of the land (or the last victims of the zombie massacre).<br/><br/>"
153,Ticket to Ride: Nordic Countries,2,3,30,60,2007,7.65653,https://cf.geekdo-images.com/original/img/GU-wGnipNb0UVXT9ebQBl86UrRk=/0x0/pic369616.jpg,8,Trains| Transportation| Travel,1.9882,"Ticket to Ride: Nordic Countries takes you on a Nordic adventure through Denmark, Finland, Norway, and Sweden as you travel to the great northern cities of Copenhagen, Oslo, Helsinki, and Stockholm. This version was initially available only in the Nordic Countries of Denmark, Norway, Sweden, and Finland; a worldwide limited-edition release occurred in August 2008 and it has since been kept in print again by Days of Wonder.<br/><br/>The goal in &quot;Nordic&quot; remains the same as base Ticket to Ride: collect and play cards to place your trains on the board, attempting to connect the different cities on your ticket cards. The map incorporates tunnels from Europe and also has routes containing ferries. Ferries will require a certain number of Locomotives to be played, as well as other cards, in order to be claimed. Locomotives are handled a bit differently as well. On your turn you may take 2 Locomotives if you want, but you can only use them on ferries, tunnels, or the special 9 length route.<br/><br/>Unlike the USA or Europe maps, Nordic is designed for 2-3 players only and has a heavier focus on blocking your opponent and more aggressive play.<br/><br/>Although not an official expansion for this set, Ticket to Ride Map Collection: Volume 5 – United Kingdom & Pennsylvania can be used as an expansion for Nordic Countries, although limited to the three players included in this set.  Nordic Countries includes three sets of 40 trains, with 5 spare for each colour; the UK map in Ticket to Ride Map Collection: Volume 5 – United Kingdom & Pennsylvania requires 35 trains and the Pennsylvania map requires 45 trains.<br/><br/>Part of the Ticket to Ride series.<br/><br/>"
154,Village,2,4,60,90,2011,7.554,https://cf.geekdo-images.com/original/img/XJ9DcBvOYgoSSNLjx0GP4If8hms=/0x0/pic2760568.jpg,12,Farming| Medieval,3.0783,"Game description from the publisher:<br/><br/>Life in the village is hard &ndash; but life here also allows the inhabitants to grow and prosper as they please. One villager might want to become a friar. Another might feel ambitious and strive for a career in public office. A third one might want to seek his luck in distant lands.<br/><br/>Each player will take the reins of a family and have them find fame and glory in many different ways. There is one thing you must not forget, however: Time will not stop for anyone and with time people will vanish. Those who will find themselves immortalized in the village chronicles will bring honor to their family and be one step closer to victory.<br/><br/>Village is a game full of tactical challenges. A smart and unique new action mechanism is responsible for keeping turns short and yet still tactically rich and full of difficult decisions. Also unique is the way this game deals with the delicate subject of death; as a natural and perpetual part of life in the village, thoughts of death will keep you focused on smart time-management.<br/><br/>Paraphrased from Opinionated Gamer's review:<br/><br/>Each player&rsquo;s turn consists of taking a cube and then taking the action of the area they just took the cube from.  The board has multiple different zones with specific attributes, a market, a travel zone, a crafting zone, a church, and a council house.  Many of these offer multiple options, so even if you take a cube from the crafting area, you can get an ox, a horse, a cart, a plow, a scroll, or convert wheat to gold.  Each zone is seeded with cubes of four colors plus black cubes which serve as curses, there are lots of turns per round. Some areas offer short-term scoring, others offer long-term scoring, and still others offer only end-game scoring. The round ends when there are no cubes at any location.  The game ends when either the village chronicle or the anonymous graveyard is full.<br/><br/>"
155,Steam,3,5,90,90,2009,7.64316,https://cf.geekdo-images.com/original/img/Ss958wDZnMLtO5OaxR9Ya855rpU=/0x0/pic392515.jpg,10,Economic| Trains| Transportation,3.455,"In Steam you build railroads and deliver goods along an ever changing network of tracks and stations. You build the tracks, upgrade towns, improve your train, and grab the right goods to make the longest, most profitable deliveries. Score your deliveries and add to your income or victory points, balancing your need to invest against your quest to win the game.<br/><br/>Steam contains a beautiful, double-sided game board. The map on each side depicts terrain, towns, and cities at the start of the railway age. The map of the northeastern USA and neighboring Canada is ideal for 3 or 4 players. Use the map of Europe's lower Rhine and Ruhr region when playing a 4 or 5 player game. You can play Steam on any number of current and future variant and expansion maps, so we include pieces for 6 players.<br/><br/>The game plays very similarly to Age of Steam but with modifications to some of its mechanics and artwork. Tracks for income, train level, etc. are all printed on the board around the map such that alternate maps can be overlaid on the board and the necessary tracks will still be able to be used.<br/><br/>Similar to:<br/><br/>     Railways of the World<br/><br/><br/><br/><br/>"
156,La Granja,1,4,90,120,2014,7.74404,https://cf.geekdo-images.com/original/img/bYiw2vhO2TVB5Dwq5_KzczLpTaQ=/0x0/pic2031777.jpg,12,Economic| Farming,3.5882,"In La Granja, players control small farms by the Alpich pond near the village of Esporles on the island of Mallorca. Over time, the players develop their farms and deliver goods to the village. Players are vying to earn the title of &quot;La Granja&quot; for their country estate!<br/><br/>Over the course of 6 game rounds, players will expand their farm by adding fields, farm extensions, market barrows, and helpers.  They will earn VPs by delivering goods to the village of Esporles.  It is important to observe the actions of other players, manipulate turn order, and adjust your strategy based on the dice and cards.<br/><br/>La Granja is a fascinating game that requires careful planning. Timing and speed is crucial. However, successful players must cope with the uncertainty of events during the game. The player who has earned the most victory points at the end of the game is the winner and new owner of the La Granja estate!<br/><br/>"
157,Inis,2,4,60,90,2016,7.82001,https://cf.geekdo-images.com/original/img/FC7YIs478p6YO07t3dciSgWITXE=/0x0/pic3112623.jpg,14,Ancient| Card Game| Miniatures| Mythology,2.9367,"Inis is a game deeply rooted in Celtic history and lore in which players win by being elected King of the Island (Inis). Players can try to achieve one of three different victory conditions:<br/><br/><br/>     Leadership: Be the leader &mdash; i.e., have more clan figures than any other player &mdash; of territories containing at least six opponents' clans.<br/>     Land: Have your clans present in at least six different territories.<br/>     Religion: Have your clans present in territories that collectively contain at least six sanctuaries.<br/><br/><br/>Over the course of the game, players also earn deeds, typically chanted by bards or engraved by master crafters, that reduce by one the magic total of six for any condition. While one victory condition is enough to claim the title of King, a game of experienced players usually has a tight balance of power, emphasizing the leadership of the capital of the island.<br/><br/>At the start of each round, players draft a hand of four action cards (with 13 action cards for three players and 17 for four players) during the Assembly. Action cards not played at the end of one season are not held for the next. Players also have access to leader cards for the territories that allow it and where they were elected leader during the assembly. Each Assembly reallocates those cards. Finally, they collect &quot;epic tales&quot; cards that depict the deeds of the ancient Irish gods and heroes, like Cuchulainn, the Dagda, Lugh and many others. These will be kept and used to inspire the clans and achieve extraordinary feats...under the right circumstances. The cards provide a variety of actions: adding clans, moving clans, building/exploring, and special actions.<br/><br/>Careful drafting, hand management, bluffing (especially once players understand the importance of passing their turn), good timing, and a precise understanding of the balance of power are the keys to victory. After a discovery game you'll be ready for a full and epic game, where an undisputed player will be king by the Assembly for his merit and wisdom.<br/><br/>While Inis has &quot;dudes&quot; that are &quot;on a map&quot;, it's a beginner's mistake to play this as a battle game because eliminating other clans reduces your chances of scoring a Leadership victory condition. Peace among different clans, with or without a clear territory leader, is the usual outcome of a clan's movement. Battles will occur, of course, as the Celtic clans can be unruly and a good player will listen to his clan's people (i.e., his hand of cards). That battle aspect is reflected in the clan's miniatures representing warriors. Woodsmen, shepherds and traders complete the set of twelve minis for each player; these occupations have no impact on the game, but give it flavor.<br/><br/>"
158,Age of Steam,1,6,120,120,2002,7.69365,https://cf.geekdo-images.com/original/img/Lg3XYjWqU2lxE06IPz--Y6VgKnQ=/0x0/pic429576.jpg,13,Economic| Trains| Transportation,3.9281,"Steam-belching iron horses roar across the wild plains! Age of Steam relives the era when pioneering U.S. railroads built the tracks that transformed America's economy. The cut-throat action is centered on the industrial powerhouses of the growing nation: Pittsburgh, Cincinnati, Chicago, and beyond.<br/><br/>Challenges that await you:<br/><br/><br/>     Can you finance both the most extensive track network and the most powerful locomotives?<br/>     Which routes will give the best returns on their costs?<br/>     Can you beat the opposition to the most lucrative shipments?<br/>     Will you make enough money to pay your aggressive creditors?<br/><br/><br/>Competition is brutal, with the game usually going to the player who plans most carefully.<br/><br/>Each self-contained phase in the game keeps players constantly involved in making vital decisions and interacting with other players. Age of Steam also allows towns to be developed into cities, ensuring that no two games are exactly the same.<br/><br/>"
159,Memoir '44,2,8,30,60,2004,7.54025,https://cf.geekdo-images.com/original/img/BWLGASv5ywVok8Be-qxkuM4AqtY=/0x0/pic43663.jpg,8,Miniatures| Wargame| World War II,2.2765,"Memoir '44  is a historical boardgame where players face-off in stylized battles of some of the most famous historic battles of World War II including Omaha Beach, Pegasus Bridge, Operation Cobra and the Ardennes.<br/><br/>Memoir '44 includes over 15 different battle scenarios and features a double-sided hex game board for both beach landings and countryside combat. Each scenario mimics the historical terrain, troop placements and objectives of each army. Commanders deploy troops through Command and Tactic cards, applying the unique skills of his units -- infantry, paratrooper, tank, artillery, and even resistance fighters -- to their greatest strength.<br/><br/>&quot;By design, the game is not overly complex&quot;, says Memoir '44 designer, Richard Borg. &quot;The game mechanics, although simple, still require strategic card play, timely dice rolling and an aggressive yet flexible battle plan to achieve victory.&quot; In addition to the large, double-sided gameboard, Memoir '44 includes 144 amazingly detailed army miniatures - including historically accurate infantry, tanks and artillery; 36 Obstacle pieces, 60 illustrated Command cards, 44 Special Terrain tiles, and 8 Custom Wooden dice.<br/><br/>Memoir '44 is designed for 2 players but easily accommodates team play. And with Memoir '44 Overlord scenarios, players can use multiple boards and up to 8 players to conduct large scale operations, experiencing the challenges of troop coordination and military chain of command on a large scale battlefield. Average game length is between 30 and 60 minutes, encouraging match play where players can command first one side and then the other.<br/><br/>The Memoir '44 series consists of the base game and a number of expansions.<br/><br/>This game is based upon Richard Borg's Command and Colors system.<br/><br/>"
160,The Princes of Florence,2,5,75,100,2000,7.56666,https://cf.geekdo-images.com/original/img/8i5Vx3vpbBn7CTrhWs3MK2eyA_4=/0x0/pic1306997.jpg,12,City Building| Renaissance,3.2537,"Players attract artists and scholars trying to become the most prestigious family in Florence. Each player is given a palace grid and reference chart and attempts to gain the most victory points after seven rounds. Scoring victory points can be done in a variety of ways although most will be earned by playing profession cards to generate work points. There are a variety of professions such as astronomers, organists and architects. Each is attracted to a particular combination of building, landscape feature, and social freedom. The more the player can match these preferences then the more work points are generated. If a player satisfies the minimum requirement of work points, which increases each round, then the work can be created and the player can then trade the work points for cash and/or victory points.<br/><br/>"
161,Viticulture,2,6,90,90,2013,7.69633,https://cf.geekdo-images.com/original/img/ATjch6ZLh4gQEF6CjZPDKl1ZroM=/0x0/pic2619743.jpg,13,Economic| Farming,2.9378,"In Viticulture, the players find themselves in the roles of people in rustic, pre-modern Tuscany who have inherited meager vineyards. They have a few plots of land, an old crushpad, a tiny cellar, and three workers. They each have a dream of being the first to call their winery a true success.<br/><br/>The players are in the position of determining how they want to allocate their workers throughout the year. Every season is different on a vineyard, so the workers have different tasks they can take care of in the summer and winter. There's competition over those tasks, and often the first worker to get to the job has an advantage over subsequent workers.<br/><br/>Fortunately for the players, people love to visit wineries, and it just so happens that many of those visitors are willing to help out around the vineyard when they visit as long as you assign a worker to take care of them. Their visits (in the form of cards) are brief but can be very helpful.<br/><br/>Using those workers and visitors, players can expand their vineyards by building structures, planting vines (vine cards), and filling wine orders (wine order cards). Players work towards the goal of running the most successful winery in Tuscany.<br/><br/>"
162,Tichu,4,4,60,60,1991,7.59901,https://cf.geekdo-images.com/original/img/4mtym39nvO7r5AkNoYVxdvPbyOc=/0x0/pic169494.jpg,10,Card Game,2.3426,"Tichu took much of its rules and mechanics from Zheng Fen. It is a partnership climbing card game, and the object of play is to rid yourself of your hand, preferably while scoring points in the process.<br/><br/>The deck is a standard 52-card pack with four special cards added: dog, phoenix, dragon and Mah Jong (1). When it's your turn, you may either beat the current top card combination &mdash; single card, pair of cards, sequence of pairs, full house, etc. &mdash; or pass. If play passes all the way back to the player who laid the top cards, they win the trick, clears the cards, and can lead the next one. The card led determines the only combination of cards that can be played on that trick, so if a single card is led, then only single cards are played; if a straight of seven cards is led, then only straights of seven cards can be played, etc.<br/><br/>The last player out in a round gives all the cards they won to the player who exited first, and the last player's unplayed cards are handed to the opposite team. Fives, tens and Kings are worth 5, 10 and 10 points, with each hand worth one hundred points without bonuses &mdash; but the bonuses are what drive the game. At the start of a round, each player can call &quot;Tichu&quot; prior to playing any card. This indicates that the player thinks they can empty their hand first this round; if they do so, their team scores 100 points, and if not, their team instead loses 100 points. Cards are dealt at the start of a round in a group of eight and a group of six; a player can call &quot;Grand Tichu&quot; after looking at only their first eight cards for a &plusmn;200 point bonus. If both players on a team exit a round prior to either player on the opposite team, then no points are scored for cards and the winning team earns 200 points (with Tichu/Grand Tichu bonuses and penalties being applied as normal).<br/><br/>The first team to 1,000 points wins.<br/><br/>"
163,Go,2,2,30,180,-2200,7.65698,https://cf.geekdo-images.com/original/img/bCv9Y06nWX1rt7Qn1GuCEOyDov0=/0x0/pic1728832.jpg,8,Abstract Strategy,3.9772,"By all appearances, it's just two players taking turns laying stones on a 19&times;19 (or smaller) grid of intersections.  But once its basic rules are understood, Go shows its staggering depth. One can see why many people say it's one of the most elegant brain-burning abstract games in history, with players trying to claim territory by walling off sections of the board and surrounding each other's stones.  The game doesn't end until the board fills up, or, more often, when both players agree to end it, at which time whoever controls the most territory wins.<br/><br/>The earliest mention of Go (圍棋 (w&eacute;i q&iacute;)- &quot;surrounding game&quot;) appears in the &quot;Analects&quot; of Confucius (551-479 BC), while the earliest physical evidence is a 17&times;17 Go board discovered in 1952 in a tomb of the former Han dynasty (206 BC- 9 AD). There is a tangle of conflicting popular and scholarly anecdotes attributing its invention to two Chinese emperors, an imperial vassal and court astrologers. One story has it that Go was invented by the legendary Emperor Yao (ruled 2357-2256 BC) as an amusement for his idiot son. A second claims that the Emperor Shun (ruled 2255-2205 BC) created the game in hopes of improving his weak-minded son's mental prowess. A third says the person named Wu, a vassal of the Emperor Jie (ruled 1818-1766 BC), invented Go (as well as games of cards). Finally, a fourth story suggests that Go was developed by court astrologers during the Zhou dynasty (1045-255 BC).<br/><br/>A Go set, consisting of a very general-purpose grid and colored stones, can also be used to play a variety of other abstract strategy games, such as  Connect6, Go-Moku, Pente, and others.<br/><br/>"
164,Lisboa,1,4,60,120,2017,8.24022,https://cf.geekdo-images.com/original/img/k4JCDnjnu5YRn5QA8njFeRMbulk=/0x0/pic3209553.jpg,12,City Building| Economic| Political,4.4965,"Lisboa is a game about the reconstruction of Lisboa after the great earthquake of 1755.<br/><br/>On November 1, 1755, Lisbon suffered an earthquake of an estimated magnitude of 8.5&ndash;9.0, followed by a tsunami and three days of fires. The city was almost totally destroyed. The Marques of Pombal &mdash; Sebasti&atilde;o Jos&eacute; de Carvalho e Melo &mdash; was the then Minister of Foreign Affairs and the King put him in charge of the reconstruction of Lisbon. The Marques of Pombal gathered a team of engineers and architects and you, the players, are members of the nobility; members who will use your influence in the reconstruction and business development of the new city. You will work with the architects to build Lisbon anew, with the Marquis to develop commerce and with the King to open all the buildings, but the true reason you do all this is not for greatness or fame or even fortune, but for the most important thing of all in that time: wigs.<br/><br/>Lisboa is played on a real map of downtown Lisbon. During the planning of the downtown project, the type of business permitted in each street was previously determined. The economic motor is driven by the wealth of the royal treasure and this treasure is controlled by player actions during the game, making each game a totally different experience. The game ends after a fixed number of rounds and whoever gathers the most wigs by the end of the game wins.<br/><br/>Lisboa is played in rounds. Each round, all players play one turn. They may place one card on their display or replace one card from this display. During the game, players schedule hearings to get character favors, such as commerce, construction, and openings. The iconic buildings score the stores and stores provide income to the players. Players need to manage influence, construction licenses, store permits, church power, workers and money, with the workers' cost being dependent on the prestige of the players.<br/><br/>"
165,Legendary: A Marvel Deck Building Game,1,5,45,45,2012,7.6162,https://cf.geekdo-images.com/original/img/Zs228bvKFb5jHoYvscyYBAph-QY=/0x0/pic1430769.jpg,14,Card Game| Comic Book / Strip,2.4631,"Legendary: A Marvel Deck Building Game is set in the Marvel Comics universe. To set up the game, players choose a mastermind villain (Magneto, Loki, Dr. Doom, etc.), stack that particular villain's attack cards underneath it, then modify the villain deck as needed based on that villain's particular scheme. Players then choose a number of hero decks &ndash; Spider-Man, Hulk, Cyclops, Wolverine, etc. &ndash; and shuffle them together; since players use only a handful of hero decks out of the fifteen included, the hero deck can vary widely in terms of what's available.<br/><br/>Over the course of the game, players will recruit powerful hero cards to add to their deck in order to build a stronger and more resourceful deck. Players need to build both their recruitment powers (to enlist more heroes) and their fighting ability (to combat the villains who keep popping up to cause trouble). Players recruit heroes from an array of five cards, with empty slots refilled as needed. At the start of a player's turn, he reveals a villain and adds it to the row of villains. This row has a limited number of spaces, and if it fills up, the earliest villain to arrive escapes, possibly punishing the heroes in some way. Some villains also take an action when showing up for the first time, such as kidnapping an innocent bystander. The villain deck also contains &quot;master strike&quot; cards, and whenever one of these shows up, the mastermind villain (controlled by the game) takes a bonus action.<br/><br/>As players fight and defeat villains, they collect those cards, which will be worth points at game's end. Players can also fight the mastermind; if a player has enough fighting power, he claims one of the attack cards beneath the mastermind, which has a particular effect on the game. If all of these cards are claimed, the game ends and players tally their points to see who wins. If the mastermind completes his scheme, however &ndash; having a certain number of villains escape, for example, or imposing a certain number of wounds on the heroes &ndash; then the players all lose.<br/><br/>"
166,Ticket to Ride,2,5,30,60,2004,7.46234,https://cf.geekdo-images.com/original/img/bOcAJxw-W-B2Gz0x67z8bjqzJgY=/0x0/pic38668.jpg,8,Trains| Travel,1.8694,"With elegantly simple gameplay, Ticket to Ride can be learned in under 15 minutes. Players collect cards of various types of train cars they then use to claim railway routes in North America. The longer the routes, the more points they earn. Additional points come to those who fulfill Destination Tickets &ndash; goal cards that connect distant cities; and to the player who builds the longest continuous route.<br/><br/>&quot;The rules are simple enough to write on a train ticket &ndash; each turn you either draw more cards, claim a route, or get additional Destination Tickets,&quot; says Ticket to Ride author, Alan R. Moon. &quot;The tension comes from being forced to balance greed &ndash; adding more cards to your hand, and fear &ndash; losing a critical route to a competitor.&quot;<br/><br/>Ticket to Ride continues in the tradition of Days of Wonder's big format board games featuring high-quality illustrations and components including: an oversize board map of North America, 225 custom-molded train cars, 144 illustrated cards, and wooden scoring markers.<br/><br/>Since its introduction and numerous subsequent awards, Ticket to Ride has become the BoardGameGeek epitome of a &quot;gateway game&quot; -- simple enough to be taught in a few minutes, and with enough action and tension to keep new players involved and in the game for the duration.<br/><br/>Part of the Ticket to Ride series.<br/><br/>"
167,Raiders of the North Sea,2,4,60,120,2015,7.81708,https://cf.geekdo-images.com/original/img/a0YP4eI1oi6LqEQU1jsEphVmo8I=/0x0/pic3578101.jpg,12,Medieval| Nautical,2.5824,"Raiders of the North Sea is set in the central years of the Viking Age. As Viking warriors, players seek to impress the Chieftain by raiding unsuspecting settlements. To do so, players need to assemble a crew, collect provisions, and journey north to plunder gold, iron and livestock. Glory can be found in battle, even at the hands of the Valkyrie, so gather your warriors because it's raiding season!<br/><br/>To impress the Chieftain, you need victory points (VPs), with those being acquired primarily by raiding settlements, taking plunder, and making offerings to the Chieftain. How you use your plunder is also vital to your success. Players take turns in clockwise order, and on a turn you place a worker and resolve its action, then pick up a different worker and resolve its action. Broadly speaking, those actions fall in one of two categories:<br/><br/><br/>     Work: Having a good crew and enough provisions are vital to successful raiding, so before making any raids, players need to do some work to prepare their crew and collect supplies. This is all done in the village at the bottom of the game board, with eight buildings offering various actions. You must first place your worker in an available building where no other worker is present, then pick up a different worker from a different building.<br/><br/><br/><br/>     Raid: Once players have hired enough crew and collected provisions, you may choose to raid on your turn. To raid a settlement &mdash; whether a harbor, outpost, monastery or fortress &mdash; you need to meet three requirements: Having a large enough crew, having enough provisions (along with gold for monasteries and fortresses, and having a worker of the right color. Raiding offers various ways of scoring, such as military strength, plunder, and Valkyries, which is how grey and white workers enter the game.<br/><br/><br/>The game ends when only one fortress raid remains, all Valkyrie have been removed, or all offerings have been made, then players tally their scores.<br/><br/>"
